ID,Label
1,0
2,1
3,2
4,2
5,0
6,0
7,2
8,2
9,0
10,3
11,1
12,3
13,0
14,3
15,0
16,0
17,0
18,1
19,1
20,4
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,2
29,0
30,4
31,0
32,1
33,3
34,0
35,0
36,0
37,0
38,0
39,2
40,1
41,2
42,0
43,0
44,0
45,4
46,0
47,0
48,1
49,3
50,0
51,0
52,1
53,3
54,0
55,1
56,1
57,3
58,0
59,0
60,1
61,3
62,0
63,4
64,0
65,0
66,1
67,0
68,1
69,1
70,2
71,0
72,0
73,0
74,1
75,2
76,0
77,0
78,3
79,0
80,0
81,2
82,1
83,0
84,0
85,1
86,1
87,0
88,1
89,4
90,0
91,1
92,1
93,0
94,2
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,3
103,0
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,2
112,1
113,0
114,1
115,0
116,3
117,2
118,1
119,3
120,0
121,1
122,4
123,0
124,0
125,2
126,1
127,3
128,1
129,1
130,0
131,0
132,1
133,3
134,1
135,0
136,2
137,1
138,0
139,4
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,2
149,1
150,0
151,4
152,0
153,2
154,0
155,4
156,2
157,1
158,0
159,3
160,0
161,0
162,0
163,0
164,1
165,2
166,2
167,1
168,1
169,0
170,1
171,1
172,0
173,3
174,1
175,1
176,2
177,0
178,1
179,4
180,0
181,0
182,1
183,0
184,0
185,0
186,1
187,1
188,1
189,1
190,2
191,3
192,2
193,2
194,0
195,1
196,2
197,3
198,3
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,1
207,1
208,2
209,2
210,0
211,0
212,4
213,3
214,0
215,0
216,2
217,0
218,1
219,3
220,4
221,0
222,1
223,3
224,2
225,1
226,1
227,2
228,1
229,1
230,0
231,0
232,2
233,0
234,0
235,0
236,1
237,3
238,2
239,0
240,3
241,4
242,1
243,0
244,0
245,0
246,1
247,0
248,3
249,1
250,2
251,1
252,0
253,1
254,1
255,0
256,0
257,2
258,0
259,0
260,1
261,4
262,3
263,2
264,1
265,1
266,2
267,0
268,2
269,0
270,0
271,3
272,3
273,4
274,3
275,0
276,2
277,3
278,2
279,2
280,3
281,1
282,2
283,1
284,2
285,0
286,2
287,2
288,0
289,3
290,3
291,1
292,1
293,2
294,1
295,0
296,4
297,4
298,4
299,0
300,3
301,1
302,2
303,1
304,3
305,4
306,2
307,0
308,3
309,1
310,0
311,0
312,0
313,0
314,1
315,1
316,1
317,1
318,0
319,4
320,1
321,1
322,2
323,2
324,1
325,1
326,0
327,0
328,1
329,4
330,1
331,2
332,1
333,1
334,0
335,0
336,1
337,1
338,1
339,0
340,0
341,4
342,4
343,2
344,3
345,0
346,0
347,3
348,1
349,0
350,0
351,3
352,0
353,0
354,0
355,1
356,3
357,3
358,2
359,0
360,3
361,1
362,2
363,4
364,1
365,1
366,4
367,3
368,1
369,0
370,2
371,0
372,0
373,3
374,3
375,0
376,3
377,3
378,0
379,1
380,3
381,0
382,0
383,1
384,2
385,2
386,0
387,2
388,0
389,1
390,0
391,0
392,0
393,4
394,1
395,3
396,1
397,2
398,1
399,0
400,1
